BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.329489588737488,0.904181730933487,NaN
Null,2,0,0,0,0,0,2,7.34788079488412e-16,2,0.296501620672643,1.21854632720351,NaN
Null,3,0,0,0,0,0,3,7.34788079488412e-16,2,0.503332637250423,1.0137006547302,NaN
Null,4,0,0,0,0,0,4,7.34788079488412e-16,2,0.367521740496159,0.726390667259693,NaN
Null,5,0,0,0,0,0,5,7.34788079488412e-16,2,0.411250754259527,0.994881454855204,NaN
Null,6,0,0,0,0,0,6,7.34788079488412e-16,2,0.306840866804123,0.914573152549565,NaN
Null,7,-30,-1.4,2,0,0,7,7.34788079488412e-16,2,0.368710557930171,0.845341864973307,-0.0712285022386035
Null,8,0,0,0,0,0,8,7.34788079488412e-16,2,0.268691686913371,0.839859067462385,NaN
Null,9,0,0,0,0,0,9,7.34788079488412e-16,2,0.276762281544507,0.89154530595988,NaN
Null,10,0,0,0,0,0,10,7.34788079488412e-16,2,0.269341195933521,0.887213047593832,NaN
Null,1,0,0,0,0,0,11,7.34788079488412e-16,2,0.333328132517636,1.05742308497429,NaN
Null,2,-30,-1.4,2,0,0,12,7.34788079488412e-16,2,0.347630265168846,0.829918450675905,-0.0596904311468466
Null,3,0,0,0,0,0,13,7.34788079488412e-16,2,0.302134848199785,0.879811222665012,NaN
Null,4,0,0,0,0,0,14,7.34788079488412e-16,2,0.348947326652706,0.891409016214311,NaN
Null,5,0,0,0,0,0,15,7.34788079488412e-16,2,0.27614519931376,0.846398781053722,NaN
Null,6,0,0,0,0,0,16,7.34788079488412e-16,2,0.271504278294742,0.973079484887421,NaN
Null,7,0,0,0,0,0,17,7.34788079488412e-16,2,0.269661074504256,0.790187431499362,NaN
Null,8,0,0,0,0,0,18,7.34788079488412e-16,2,0.26641889102757,0.924995294772089,NaN
Null,9,0,0,0,0,0,19,7.34788079488412e-16,2,0.341758104041219,0.849560020491481,NaN
Null,10,0,0,0,0,0,20,7.34788079488412e-16,2,0.262087119743228,0.957345455884933,NaN
Null,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.274526057764888,0.910268931649625,NaN
Null,2,0,0,0,0,0,22,7.34788079488412e-16,2,0.296514785848558,0.804944270290434,NaN
Null,3,0,0,0,0,0,23,7.34788079488412e-16,2,0.298905342817307,1.00948128011078,NaN
Null,4,0,0,0,0,0,24,7.34788079488412e-16,2,0.313522964715958,0.868257558904588,NaN
Null,5,0,0,0,0,0,25,7.34788079488412e-16,2,0.310188621282578,0.752771630883217,NaN
Null,6,0,0,0,0,0,26,7.34788079488412e-16,2,0.279003627598286,0.960496212355793,NaN
Null,7,0,0,0,0,0,27,7.34788079488412e-16,2,0.29137893114239,0.867655836045742,NaN
Null,8,0,0,0,0,0,28,7.34788079488412e-16,2,0.249947337433696,0.825536942109466,NaN
Null,9,0,0,0,0,0,29,7.34788079488412e-16,2,0.236133798956871,0.890530325472355,NaN
Null,10,-30,-1.4,2,0,0,30,7.34788079488412e-16,2,0.286995471455157,0.908736098557711,0.124014413917885
Null,1,0,0,0,0,0,31,7.34788079488412e-16,2,0.271437473595142,0.838480810634792,NaN
Null,2,0,0,0,0,0,32,7.34788079488412e-16,2,0.30513590388,0.934307126328349,NaN
Null,3,0,0,0,0,0,33,7.34788079488412e-16,2,0.319675264880061,0.738282740116119,NaN
Null,4,0,0,0,0,0,34,7.34788079488412e-16,2,0.293276259675622,0.704823486506939,NaN
Null,5,0,0,0,0,0,35,7.34788079488412e-16,2,0.309172665700316,0.772725277580321,NaN
Null,6,0,0,0,0,0,36,7.34788079488412e-16,2,0.289501837454736,0.76096900831908,NaN
Null,7,0,0,0,0,0,37,7.34788079488412e-16,2,0.359275601804256,0.80393123999238,NaN
Null,8,0,0,0,0,0,38,7.34788079488412e-16,2,0.301744996570051,1.15056481026113,NaN
Null,9,0,0,0,0,0,39,7.34788079488412e-16,2,0.284094377420843,0.662860387936234,NaN
Null,10,-30,-1.4,2,0,0,40,7.34788079488412e-16,2,0.295637801289558,0.738228370435536,-0.00444021433205561
Null,1,0,0,0,0,0,41,7.34788079488412e-16,2,0.311204820871353,0.758907107636333,NaN
Null,2,0,0,0,0,0,42,7.34788079488412e-16,2,0.252811616286635,1.02938713971525,NaN
Null,3,0,0,0,0,0,43,7.34788079488412e-16,2,0.287084706127644,0.813295247033238,NaN
Null,4,-30,-1.4,2,0,0,44,7.34788079488412e-16,2,0.301170824095607,0.698075803928077,0.0229271936248349
Null,5,0,0,0,0,0,45,7.34788079488412e-16,2,0.267520179972053,0.977104054763913,NaN
Null,6,0,0,0,0,0,46,7.34788079488412e-16,2,0.281183043494821,0.900927111506462,NaN
Null,7,0,0,0,0,0,47,7.34788079488412e-16,2,0.292534589767456,1.15347443707287,NaN
Null,8,0,0,0,0,0,48,7.34788079488412e-16,2,0.274707696400583,0.780898761935532,NaN
Null,9,0,0,0,0,0,49,7.34788079488412e-16,2,0.285128619521856,0.737733192741871,NaN
Null,10,0,0,0,0,0,50,7.34788079488412e-16,2,0.233140057884157,0.919129715301096,NaN
FieldA,1,0.15,0,1,0,0,51,7.34788079488412e-16,2,0.273889957927167,2.32985213398933,NaN
FieldA,2,-30,-1.4,2,0,0,52,7.34788079488412e-16,2,0.322868687100708,0.810900789685547,0.393280169807449
FieldA,3,0.15,0,1,0,0,53,7.34788079488412e-16,2,0.283054285682738,1.40941193979234,NaN
FieldA,4,0.15,0,1,0,0,54,7.34788079488412e-16,2,0.330386809073389,0.996680771932006,NaN
FieldA,5,0.15,0,1,0,0,55,7.34788079488412e-16,2,0.327890682965517,1.13366390671581,NaN
FieldA,6,0.15,0,1,0,0,56,7.34788079488412e-16,2,0.277083868160844,1.12419091723859,NaN
FieldA,7,0.15,0,1,0,0,57,7.34788079488412e-16,2,0.292538246139884,1.15763773582876,NaN
FieldA,8,0.15,0,1,0,0,58,7.34788079488412e-16,2,0.332348503172398,0.748111204244196,NaN
FieldA,9,0.15,0,1,0,0,59,7.34788079488412e-16,2,0.287496256642044,0.780707126483321,NaN
FieldA,10,0.15,0,1,0,0,60,7.34788079488412e-16,2,0.254739176481962,1.06258966121823,NaN
FieldA,1,0.15,0,1,0,0,61,7.34788079488412e-16,2,0.274078423157334,0.745146475732327,NaN
FieldA,2,0.15,0,1,0,0,62,7.34788079488412e-16,2,0.270693609490991,0.932218895293772,NaN
FieldA,3,0.15,0,1,0,0,63,7.34788079488412e-16,2,0.247388551943004,0.702363444492221,NaN
FieldA,4,-30,-1.4,2,0,0,64,7.34788079488412e-16,2,0.25793625600636,0.868593772873282,0.597408373955068
