BlockName,BlockTrial,ControlPoint,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null8,1,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.373750963248312,1.39732638327405,NaN
Null8,2,-1,0,0,0,0,0,2,7.34788079488412e-16,2,0.330983333289623,0.849116920959204,NaN
Null8,3,1,0,0,0,0,0,3,7.34788079488412e-16,2,0.344609855674207,0.69035781500861,NaN
Null8,4,-1,0,0,0,0,0,4,7.34788079488412e-16,2,0.314072938170284,0.812883634585887,NaN
Null8,5,-1,0,0,0,0,0,5,7.34788079488412e-16,2,0.331096704583615,0.733316347934306,NaN
Null8,6,-1,0,0,0,0,0,6,7.34788079488412e-16,2,0.320506343618035,0.841888695955276,NaN
Null8,7,1,0,0,0,0,0,7,7.34788079488412e-16,2,0.305777070578188,0.915120100602508,NaN
Null8,8,1,0,0,0,0,0,8,7.34788079488412e-16,2,0.380894342437387,0.854316893965006,NaN
Triplet1,1,1,-30,-1.4,2,0,0,9,7.34788079488412e-16,2,0.309715571813285,0.69586035516113,0.102628990029241
Triplet1,2,1,0.15,0,1,0,0,10,7.34788079488412e-16,2,0.325487375259399,1.25767074013129,NaN
Triplet1,3,1,-30,-1.4,2,0,0,11,7.34788079488412e-16,2,0.352863544598222,0.816641473211348,0.39950387127772
Null12,1,-1,0,0,0,0,0,12,7.34788079488412e-16,2,0.353934600483626,1.14176922943443,NaN
Null12,2,1,0,0,0,0,0,13,7.34788079488412e-16,2,0.3431435842067,0.838990774471313,NaN
Null12,3,1,0,0,0,0,0,14,7.34788079488412e-16,2,0.319928514771163,1.36153585463762,NaN
Null12,4,-1,0,0,0,0,0,15,7.34788079488412e-16,2,0.339250675402582,0.797989789396524,NaN
Null12,5,-1,0,0,0,0,0,16,7.34788079488412e-16,2,0.338221067097038,0.741526151075959,NaN
Null12,6,-1,0,0,0,0,0,17,7.34788079488412e-16,2,0.3320660921745,0.755281161051244,NaN
Null12,7,1,0,0,0,0,0,18,7.34788079488412e-16,2,0.345850359648466,0.816714372020215,NaN
Null12,8,1,0,0,0,0,0,19,7.34788079488412e-16,2,0.302816733252257,0.787390407640487,NaN
Null12,9,1,0,0,0,0,0,20,7.34788079488412e-16,2,0.31322960043326,0.695648484863341,NaN
Null12,10,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.288142804522067,0.55470406357199,NaN
Null12,11,-1,0,0,0,0,0,22,7.34788079488412e-16,2,0.340347331482917,0.983713514171541,NaN
Null12,12,-1,0,0,0,0,0,23,7.34788079488412e-16,2,0.298739991616458,0.844865612220019,NaN
Triplet4,1,1,-30,-1.4,2,0,0,24,7.34788079488412e-16,2,0.323044890072197,0.795586313121021,0.084252266234315
Triplet4,2,-1,0.15,0,1,0,0,25,7.34788079488412e-16,2,0.30909068742767,1.53912706393749,NaN
Triplet4,3,1,-30,-1.4,2,0,0,26,7.34788079488412e-16,2,0.361419070046395,0.794800514820963,0.296145534030637
Null10,1,-1,0,0,0,0,0,27,7.34788079488412e-16,2,0.33379494631663,0.751740557141602,NaN
Null10,2,-1,0,0,0,0,0,28,7.34788079488412e-16,2,0.33669140515849,0.770426618400961,NaN
Null10,3,1,0,0,0,0,0,29,7.34788079488412e-16,2,0.334161879960448,0.796651030424982,NaN
Null10,4,-1,0,0,0,0,0,30,7.34788079488412e-16,2,0.327727011404932,0.584857468493283,NaN
Null10,5,1,0,0,0,0,0,31,7.34788079488412e-16,2,0.320932523347437,0.746531807817519,NaN
Null10,6,1,0,0,0,0,0,32,7.34788079488412e-16,2,0.382985254283994,0.870051151141524,NaN
Null10,7,-1,0,0,0,0,0,33,7.34788079488412e-16,2,0.33545017009601,0.591937458142638,NaN
Null10,8,1,0,0,0,0,0,34,7.34788079488412e-16,2,0.345861818641424,0.734289879910648,NaN
Null10,9,1,0,0,0,0,0,35,7.34788079488412e-16,2,0.324813973158598,0.906388788949698,NaN
Null10,10,-1,0,0,0,0,0,36,7.34788079488412e-16,2,0.440993426833302,1.07260798336938,NaN
Triplet2,1,1,-30,-1.4,2,0,0,37,7.34788079488412e-16,2,0.357480324339122,0.853959468659014,0.227952982155402
Triplet2,2,-1,-0.15,0,1,0,0,38,7.34788079488412e-16,2,0.304107218049467,1.28637518407777,NaN
Triplet2,3,1,-30,-1.4,2,0,0,39,7.34788079488412e-16,2,0.345711144153029,0.772993202786893,0.0276382707886538
Null12,1,1,0,0,0,0,0,40,7.34788079488412e-16,2,0.372607252094895,0.557680004741997,NaN
Null12,2,-1,0,0,0,0,0,41,7.34788079488412e-16,2,0.347817171830684,0.810022040270269,NaN
Null12,3,-1,0,0,0,0,0,42,7.34788079488412e-16,2,0.3270458066836,0.549040609039366,NaN
Null12,4,-1,0,0,0,0,0,43,7.34788079488412e-16,2,0.344337764196098,0.790653556119651,NaN
Null12,5,1,0,0,0,0,0,44,7.34788079488412e-16,2,0.324930026661605,0.683998039923608,NaN
Null12,6,1,0,0,0,0,0,45,7.34788079488412e-16,2,0.384206009563059,0.656724758446217,NaN
Null12,7,1,0,0,0,0,0,46,7.34788079488412e-16,2,0.37270380044356,0.783536752220243,NaN
Null12,8,1,0,0,0,0,0,47,7.34788079488412e-16,2,0.362569851800799,0.782305269036442,NaN
Null12,9,-1,0,0,0,0,0,48,7.34788079488412e-16,2,0.385256097652018,0.773237499874085,NaN
Null12,10,1,0,0,0,0,0,49,7.34788079488412e-16,2,0.345857429783791,0.868875501211733,NaN
Null12,11,-1,0,0,0,0,0,50,7.34788079488412e-16,2,0.331293703056872,0.791503963992,NaN
Null12,12,-1,0,0,0,0,0,51,7.34788079488412e-16,2,0.338392221834511,0.755971142556518,NaN
Triplet3,1,1,-30,-1.4,2,0,0,52,7.34788079488412e-16,2,0.333076195325702,0.47502121143043,-0.0262117502409198
Triplet3,2,1,-0.15,0,1,0,0,53,7.34788079488412e-16,2,0.363442446570843,0.991856513079256,NaN
Triplet3,3,1,-30,-1.4,2,0,0,54,7.34788079488412e-16,2,0.393769199959934,1.97036688448861,-0.167279064758068
Null10,1,-1,0,0,0,0,0,55,7.34788079488412e-16,2,0.326966812368482,0.78138220589608,NaN
Null10,2,-1,0,0,0,0,0,56,7.34788079488412e-16,2,0.32147207390517,0.915716459043324,NaN
Null10,3,-1,0,0,0,0,0,57,7.34788079488412e-16,2,0.330185344442725,0.894870975520462,NaN
Null10,4,1,0,0,0,0,0,58,7.34788079488412e-16,2,0.359337422531098,0.784341567195952,NaN
Null10,5,1,0,0,0,0,0,59,7.34788079488412e-16,2,0.295758930500597,0.768785535357893,NaN
Null10,6,1,0,0,0,0,0,60,7.34788079488412e-16,2,0.353903392795473,0.801911224145442,NaN
Null10,7,1,0,0,0,0,0,61,7.34788079488412e-16,2,0.307884804904461,0.852495879866183,NaN
Null10,8,-1,0,0,0,0,0,62,7.34788079488412e-16,2,0.334146520122886,1.00980773149058,NaN
Null10,9,-1,0,0,0,0,0,63,7.34788079488412e-16,2,0.315423887223005,0.616394493728876,NaN
Null10,10,1,0,0,0,0,0,64,7.34788079488412e-16,2,0.319617657922208,0.863636031281203,NaN
Triplet1,1,1,-30,-1.4,2,0,0,65,7.34788079488412e-16,2,0.365596260875463,0.504701625555754,0.141991997562432
Triplet1,2,1,0.15,0,1,0,0,66,7.34788079488412e-16,2,0.337236076127738,1.41712909238413,NaN
Triplet1,3,1,-30,-1.4,2,0,0,67,7.34788079488412e-16,2,0.425946956966072,0.670569003093988,0.364883592835607
Null8,1,-1,0,0,0,0,0,68,7.34788079488412e-16,2,0.39769356045872,0.94162879511714,NaN
Null8,2,1,0,0,0,0,0,69,7.34788079488412e-16,2,0.320442709606141,0.770120149478316,NaN
Null8,3,1,0,0,0,0,0,70,7.34788079488412e-16,2,0.341417899355292,0.873163625597954,NaN
Null8,4,1,0,0,0,0,0,71,7.34788079488412e-16,2,0.302760169375688,0.949458011426032,NaN
Null8,5,1,0,0,0,0,0,72,7.34788079488412e-16,2,0.302758950274438,0.914052214473486,NaN
Null8,6,-1,0,0,0,0,0,73,7.34788079488412e-16,2,0.358953178860247,0.708451418671757,NaN
Null8,7,-1,0,0,0,0,0,74,7.34788079488412e-16,2,0.306790587026626,0.853327514138073,NaN
Null8,8,-1,0,0,0,0,0,75,7.34788079488412e-16,2,0.338167428970337,1.04357659025118,NaN
