BlockName,BlockTrial,FieldConstants_1,FieldConstants_2,FieldType,MissTrial,RestFlag,TrialNumber,TargetPosition_1,TargetPosition_2,MovementReactionTime,MovementDurationTime,Adaptation
Null,1,0,0,0,0,0,1,7.34788079488412e-16,2,0.637096994556487,0.932366643100977,NaN
Null,2,0,0,0,0,0,2,7.34788079488412e-16,2,0.324732857756317,1.10282268561423,NaN
Null,3,0,0,0,0,0,3,7.34788079488412e-16,2,0.287220020778477,1.07468312047422,NaN
Null,4,0,0,0,0,0,4,7.34788079488412e-16,2,0.317359558306634,1.13173707667738,NaN
Null,5,0,0,0,0,0,5,7.34788079488412e-16,2,0.458458448760211,1.25994086172432,NaN
Null,6,0,0,0,0,0,6,7.34788079488412e-16,2,0.472044755704701,1.24555632006377,NaN
Null,7,0,0,0,0,0,7,7.34788079488412e-16,2,0.302125583402812,0.781910573132336,NaN
Null,8,-30,-1.4,2,0,0,8,7.34788079488412e-16,2,0.336354057304561,0.810168872587383,0.0202285885470594
Null,9,0,0,0,0,0,9,7.34788079488412e-16,2,0.395894387736917,1.07960881106555,NaN
Null,10,0,0,0,0,0,10,7.34788079488412e-16,2,0.431345080025494,0.781984446570277,NaN
Null,1,0,0,0,0,0,11,7.34788079488412e-16,2,0.401029268279672,1.23637760896236,NaN
Null,2,0,0,0,0,0,12,7.34788079488412e-16,2,0.329085107892752,1.10249963589013,NaN
Null,3,0,0,0,0,0,13,7.34788079488412e-16,2,0.323691301047802,0.905406874604523,NaN
Null,4,0,0,0,0,0,14,7.34788079488412e-16,2,0.329037077724934,1.04620002768934,NaN
Null,5,0,0,0,0,0,15,7.34788079488412e-16,2,0.30188250541687,1.0148867899552,NaN
Null,6,0,0,0,0,0,16,7.34788079488412e-16,2,0.314596948213875,1.16930184606463,NaN
Null,7,0,0,0,0,0,17,7.34788079488412e-16,2,0.336436952464283,1.09721164312214,NaN
Null,8,-30,-1.4,2,0,0,18,7.34788079488412e-16,2,0.29162200819701,0.708904377184808,-0.101861046719953
Null,9,0,0,0,0,0,19,7.34788079488412e-16,2,0.333325206302106,1.20802568551153,NaN
Null,10,0,0,0,0,0,20,7.34788079488412e-16,2,0.366679376922548,1.0587713541463,NaN
Null,1,0,0,0,0,0,21,7.34788079488412e-16,2,0.295537351630628,0.939696056768298,NaN
Null,2,0,0,0,0,0,22,7.34788079488412e-16,2,0.327857769094408,0.844730390235782,NaN
Null,3,0,0,0,0,0,23,7.34788079488412e-16,2,0.346828862093389,0.747518259100616,NaN
Null,4,0,0,0,0,0,24,7.34788079488412e-16,2,0.292619923129678,1.20078818872571,NaN
Null,5,0,0,0,0,0,25,7.34788079488412e-16,2,0.30801164265722,1.04006333276629,NaN
Null,6,0,0,0,0,0,26,7.34788079488412e-16,2,0.294633061625063,1.05864822957665,NaN
