episode,seed,use_prev_action,mean_return,phase
1,1,1,50.03125,A
2,1,1,48.515625,A
3,1,1,51.546875,A
4,1,1,55.65625,A
5,1,1,52.78125,A
6,1,1,51.75,A
7,1,1,58.46875,A
8,1,1,63.59375,A
9,1,1,48.453125,A
10,1,1,55.46875,A
11,1,1,58.015625,A
12,1,1,61.5625,A
13,1,1,64.015625,A
14,1,1,57.96875,A
15,1,1,56.859375,A
16,1,1,70.734375,A
17,1,1,59.03125,A
18,1,1,51.953125,A
19,1,1,53.921875,A
20,1,1,66.53125,A
21,1,1,63.8125,A
22,1,1,50.953125,A
23,1,1,57.046875,A
24,1,1,81.5,A
25,1,1,80.125,A
26,1,1,149.46875,A
27,1,1,164.5625,A
28,1,1,103.359375,A
29,1,1,128.5625,A
30,1,1,117.84375,A
31,1,1,148.546875,A
32,1,1,120.328125,A
33,1,1,136.859375,A
34,1,1,129.53125,A
35,1,1,156.28125,A
36,1,1,171.84375,A
37,1,1,139.609375,A
38,1,1,95.34375,A
39,1,1,149.90625,A
40,1,1,111.953125,A
41,1,1,218.765625,A
42,1,1,123.15625,A
43,1,1,244.40625,A
44,1,1,152.109375,A
45,1,1,207.921875,A
46,1,1,137.234375,A
47,1,1,191.21875,A
48,1,1,122.21875,A
49,1,1,237.375,A
50,1,1,123.5625,A
51,1,1,250.109375,A
52,1,1,114.03125,A
53,1,1,252.796875,A
54,1,1,144.796875,A
55,1,1,115.171875,A
56,1,1,73.953125,A
57,1,1,142.703125,A
58,1,1,258.28125,A
59,1,1,154.984375,A
60,1,1,171.21875,A
61,1,1,228.9375,A
62,1,1,163.15625,A
63,1,1,227.34375,A
64,1,1,228.5,A
65,1,1,193.796875,A
66,1,1,166.9375,A
67,1,1,101.015625,A
68,1,1,129.34375,A
69,1,1,290.953125,A
70,1,1,237.8125,A
71,1,1,169.34375,A
72,1,1,135.65625,A
73,1,1,178.0625,A
74,1,1,274.84375,A
75,1,1,151.109375,A
76,1,1,339.921875,A
77,1,1,304.390625,A
78,1,1,238.46875,A
79,1,1,289.359375,A
80,1,1,254.4375,A
81,1,1,279.859375,A
82,1,1,329.078125,A
83,1,1,161.390625,A
84,1,1,305.828125,A
85,1,1,203.8125,A
86,1,1,129.375,A
87,1,1,212.6875,A
88,1,1,189.25,A
89,1,1,302.078125,A
90,1,1,223.796875,A
91,1,1,354.1875,A
92,1,1,155.265625,A
93,1,1,277.265625,A
