episode,seed,use_prev_action,mean_return,phase
1,0,1,38.765625,A
2,0,1,39.703125,A
3,0,1,38.640625,A
4,0,1,36.4375,A
5,0,1,41.59375,A
6,0,1,41.21875,A
7,0,1,38.8125,A
8,0,1,39.140625,A
9,0,1,39.90625,A
10,0,1,38.984375,A
11,0,1,40.5,A
12,0,1,40.703125,A
13,0,1,44.015625,A
14,0,1,46.984375,A
15,0,1,40.828125,A
16,0,1,45.875,A
17,0,1,47.828125,A
18,0,1,45.671875,A
19,0,1,48.5,A
20,0,1,45.546875,A
21,0,1,48.28125,A
22,0,1,48.890625,A
23,0,1,50.515625,A
24,0,1,46.703125,A
25,0,1,47.90625,A
26,0,1,45.125,A
27,0,1,42.71875,A
28,0,1,47.375,A
29,0,1,55.203125,A
30,0,1,52.109375,A
31,0,1,53.5625,A
32,0,1,53.078125,A
33,0,1,50.15625,A
34,0,1,50.34375,A
35,0,1,57.96875,A
36,0,1,58.25,A
37,0,1,52.6875,A
38,0,1,53.59375,A
39,0,1,56.234375,A
40,0,1,58.328125,A
41,0,1,62.953125,A
42,0,1,66.609375,A
43,0,1,58.734375,A
44,0,1,56.421875,A
45,0,1,55.484375,A
46,0,1,58.59375,A
47,0,1,58.453125,A
48,0,1,54.671875,A
49,0,1,56.953125,A
50,0,1,61.421875,A
51,0,1,56.875,A
52,0,1,59.1875,A
53,0,1,66.90625,A
54,0,1,73.328125,A
55,0,1,66.75,A
56,0,1,73.078125,A
57,0,1,79.5625,A
58,0,1,91.734375,A
59,0,1,116.671875,A
60,0,1,113.828125,A
61,0,1,112.75,A
62,0,1,118.59375,A
63,0,1,141.140625,A
64,0,1,118.234375,A
65,0,1,114.09375,A
66,0,1,126.1875,A
67,0,1,117.234375,A
68,0,1,117.140625,A
69,0,1,118.171875,A
70,0,1,97.1875,A
71,0,1,90.796875,A
72,0,1,85.28125,A
73,0,1,109.5625,A
74,0,1,79.359375,A
75,0,1,63.0625,A
76,0,1,58.0625,A
77,0,1,71.5,A
78,0,1,62.34375,A
79,0,1,90.5,A
80,0,1,105.140625,A
81,0,1,112.140625,A
82,0,1,84.859375,A
83,0,1,93.984375,A
84,0,1,134.984375,A
85,0,1,167.859375,A
86,0,1,126.75,A
87,0,1,126.640625,A
88,0,1,101.96875,A
89,0,1,127.484375,A
90,0,1,194.0,A
91,0,1,125.390625,A
92,0,1,204.328125,A
93,0,1,179.53125,A
94,0,1,201.484375,A
95,0,1,171.421875,A
96,0,1,128.046875,A
97,0,1,132.9375,A
98,0,1,199.984375,A
99,0,1,219.0625,A
100,0,1,198.375,A
101,0,1,217.5,A
102,0,1,194.390625,A
103,0,1,204.0,A
104,0,1,211.125,A
105,0,1,238.28125,A
106,0,1,211.4375,A
107,0,1,225.90625,A
108,0,1,149.75,A
109,0,1,117.421875,A
110,0,1,170.765625,A
111,0,1,203.59375,A
112,0,1,147.328125,A
113,0,1,162.390625,A
114,0,1,275.34375,A
115,0,1,169.71875,A
116,0,1,237.375,A
117,0,1,295.953125,A
118,0,1,168.0,A
119,0,1,246.96875,A
120,0,1,153.53125,A
121,0,1,108.09375,A
122,0,1,117.390625,A
123,0,1,216.984375,A
124,0,1,276.90625,A
125,0,1,246.765625,A
126,0,1,274.921875,A
127,0,1,254.765625,A
128,0,1,264.453125,A
129,0,1,199.046875,A
130,0,1,311.828125,A
131,0,1,173.109375,A
132,0,1,284.859375,A
133,0,1,170.75,A
134,0,1,270.9375,A
135,0,1,172.796875,A
136,0,1,224.015625,A
137,0,1,188.0,A
138,0,1,172.9375,A
139,0,1,317.484375,A
140,0,1,211.96875,A
141,0,1,250.25,A
142,0,1,187.578125,A
143,0,1,221.0,A
144,0,1,171.96875,A
145,0,1,273.109375,A
146,0,1,276.5,A
147,0,1,209.328125,A
148,0,1,341.21875,A
149,0,1,273.90625,A
150,0,1,193.546875,A
151,0,1,300.109375,A
152,0,1,263.265625,A
153,0,1,312.328125,A
154,0,1,246.640625,A
155,0,1,156.53125,A
156,0,1,256.984375,A
157,0,1,318.359375,A
158,0,1,185.453125,A
159,0,1,316.234375,A
160,0,1,181.921875,A
161,0,1,244.546875,A
162,0,1,302.859375,A
163,0,1,214.828125,A
164,0,1,343.484375,A
165,0,1,289.09375,A
166,0,1,324.515625,A
167,0,1,367.1875,A
168,0,1,267.8125,A
169,0,1,309.90625,A
170,0,1,254.3125,A
171,0,1,192.765625,A
172,0,1,326.5625,A
173,0,1,334.796875,A
174,0,1,307.875,A
175,0,1,343.578125,A
176,0,1,300.015625,A
177,0,1,356.046875,A
178,0,1,249.3125,A
179,0,1,350.03125,A
180,0,1,343.3125,A
181,0,1,169.234375,A
182,0,1,304.453125,A
183,0,1,179.390625,A
184,0,1,281.296875,A
185,0,1,364.53125,A
186,0,1,209.59375,A
187,0,1,275.4375,A
188,0,1,360.40625,A
189,0,1,244.078125,A
190,0,1,336.5,A
191,0,1,281.3125,A
192,0,1,265.796875,A
193,0,1,302.0625,A
194,0,1,276.359375,A
195,0,1,384.96875,A
196,0,1,300.03125,A
197,0,1,337.265625,A
198,0,1,316.46875,A
199,0,1,355.046875,A
200,0,1,265.546875,A
201,0,1,344.984375,A
202,0,1,299.46875,A
203,0,1,381.15625,A
204,0,1,344.984375,A
205,0,1,376.765625,A
206,0,1,285.46875,A
207,0,1,315.578125,A
208,0,1,307.578125,A
209,0,1,184.921875,A
210,0,1,142.1875,A
211,0,1,130.90625,A
212,0,1,190.46875,A
213,0,1,121.578125,A
214,0,1,152.46875,A
215,0,1,104.125,A
216,0,1,146.796875,A
217,0,1,119.984375,A
218,0,1,205.078125,A
219,0,1,93.0625,A
220,0,1,91.6875,A
221,0,1,112.25,A
222,0,1,115.875,A
223,0,1,155.671875,A
224,0,1,131.65625,A
225,0,1,146.453125,A
226,0,1,121.421875,A
227,0,1,127.5,A
228,0,1,140.546875,A
229,0,1,112.046875,A
230,0,1,130.15625,A
231,0,1,104.8125,A
232,0,1,80.640625,A
233,0,1,88.375,A
234,0,1,73.609375,A
235,0,1,90.1875,A
236,0,1,145.21875,A
237,0,1,92.5625,A
238,0,1,134.765625,A
239,0,1,208.390625,A
240,0,1,238.875,A
241,0,1,289.03125,A
242,0,1,228.25,A
243,0,1,147.59375,A
244,0,1,266.875,A
245,0,1,331.171875,A
246,0,1,273.703125,A
247,0,1,171.40625,A
248,0,1,306.78125,A
249,0,1,161.28125,A
250,0,1,157.328125,A
251,0,1,245.578125,A
252,0,1,381.0,A
253,0,1,357.046875,A
254,0,1,382.15625,A
255,0,1,331.703125,A
256,0,1,389.90625,A
257,0,1,355.109375,A
258,0,1,378.5,A
259,0,1,341.703125,A
260,0,1,362.4375,A
261,0,1,211.59375,A
262,0,1,371.390625,A
263,0,1,362.015625,A
264,0,1,370.578125,A
265,0,1,361.421875,A
266,0,1,363.84375,A
267,0,1,223.171875,A
268,0,1,361.5,A
269,0,1,355.28125,A
270,0,1,360.953125,A
271,0,1,355.484375,A
272,0,1,205.296875,A
273,0,1,383.484375,A
274,0,1,373.515625,A
275,0,1,241.34375,A
276,0,1,345.578125,A
277,0,1,378.6875,A
278,0,1,324.96875,A
279,0,1,369.875,A
280,0,1,319.125,A
281,0,1,387.9375,A
282,0,1,346.75,A
283,0,1,380.734375,A
284,0,1,350.375,A
285,0,1,379.625,A
286,0,1,316.203125,A
287,0,1,168.921875,A
288,0,1,121.96875,A
289,0,1,94.09375,A
290,0,1,129.046875,A
291,0,1,167.6875,A
292,0,1,339.828125,A
293,0,1,287.296875,A
294,0,1,293.96875,A
295,0,1,384.875,A
296,0,1,369.3125,A
297,0,1,385.1875,A
298,0,1,382.59375,A
299,0,1,363.59375,A
300,0,1,356.6875,A
301,0,1,205.046875,A
302,0,1,390.40625,A
303,0,1,359.90625,A
304,0,1,383.859375,A
305,0,1,315.765625,A
306,0,1,349.40625,A
307,0,1,232.984375,A
308,0,1,260.625,A
309,0,1,336.796875,A
310,0,1,369.453125,A
311,0,1,351.9375,A
312,0,1,379.328125,A
313,0,1,310.21875,A
314,0,1,177.9375,A
315,0,1,142.109375,A
316,0,1,152.453125,A
317,0,1,248.84375,A
318,0,1,311.859375,A
319,0,1,382.90625,A
320,0,1,357.0,A
321,0,1,378.4375,A
322,0,1,267.96875,A
323,0,1,377.4375,A
324,0,1,276.203125,A
325,0,1,337.296875,A
326,0,1,192.5625,A
327,0,1,146.859375,A
328,0,1,204.5,A
329,0,1,358.671875,A
330,0,1,319.703125,A
331,0,1,370.40625,A
332,0,1,239.546875,A
333,0,1,377.0625,A
334,0,1,361.015625,A
335,0,1,389.8125,A
336,0,1,365.515625,A
337,0,1,347.3125,A
338,0,1,350.953125,A
339,0,1,332.296875,A
340,0,1,387.859375,A
341,0,1,357.234375,A
342,0,1,389.9375,A
343,0,1,383.484375,A
344,0,1,338.4375,A
345,0,1,324.21875,A
346,0,1,387.65625,A
347,0,1,357.390625,A
348,0,1,389.703125,A
349,0,1,298.78125,A
350,0,1,356.140625,A
351,0,1,286.140625,A
352,0,1,306.71875,A
353,0,1,236.5,A
354,0,1,290.3125,A
355,0,1,384.34375,A
356,0,1,384.09375,A
357,0,1,354.03125,A
358,0,1,400.0,A
359,0,1,340.71875,A
360,0,1,395.28125,A
361,0,1,349.0,A
362,0,1,389.140625,A
363,0,1,339.34375,A
364,0,1,350.265625,A
365,0,1,281.609375,A
366,0,1,233.671875,A
367,0,1,326.453125,A
368,0,1,295.609375,A
369,0,1,393.015625,A
370,0,1,393.953125,A
371,0,1,395.734375,A
372,0,1,362.140625,A
373,0,1,392.484375,A
374,0,1,374.859375,A
375,0,1,357.1875,A
376,0,1,389.640625,A
377,0,1,394.84375,A
378,0,1,386.75,A
379,0,1,305.890625,A
380,0,1,378.953125,A
381,0,1,350.609375,A
382,0,1,384.921875,A
383,0,1,376.46875,A
384,0,1,389.65625,A
385,0,1,389.5,A
386,0,1,388.328125,A
387,0,1,339.328125,A
388,0,1,389.5,A
389,0,1,320.84375,A
390,0,1,394.65625,A
391,0,1,360.34375,A
392,0,1,315.859375,A
393,0,1,286.328125,A
394,0,1,363.421875,A
395,0,1,290.609375,A
396,0,1,357.40625,A
397,0,1,370.859375,A
398,0,1,386.09375,A
399,0,1,400.0,A
400,0,1,352.953125,A
401,0,1,195.609375,A
402,0,1,342.375,A
403,0,1,370.53125,A
404,0,1,215.359375,A
405,0,1,372.1875,A
406,0,1,385.75,A
407,0,1,375.6875,A
408,0,1,373.65625,A
409,0,1,355.234375,A
410,0,1,266.25,A
411,0,1,391.984375,A
412,0,1,302.265625,A
413,0,1,168.21875,A
414,0,1,352.609375,A
415,0,1,312.0,A
416,0,1,388.90625,A
417,0,1,384.140625,A
418,0,1,380.828125,A
419,0,1,372.28125,A
420,0,1,321.453125,A
421,0,1,384.34375,A
422,0,1,337.171875,A
423,0,1,374.8125,A
424,0,1,344.671875,A
425,0,1,389.984375,A
426,0,1,370.46875,A
427,0,1,389.78125,A
428,0,1,384.75,A
429,0,1,235.65625,A
430,0,1,370.359375,A
431,0,1,348.609375,A
432,0,1,234.3125,A
433,0,1,348.5,A
434,0,1,321.65625,A
435,0,1,359.84375,A
436,0,1,372.6875,A
437,0,1,400.0,A
438,0,1,239.453125,A
439,0,1,371.296875,A
440,0,1,400.0,A
441,0,1,379.0625,A
442,0,1,256.390625,A
443,0,1,371.796875,A
444,0,1,374.046875,A
445,0,1,377.265625,A
446,0,1,383.546875,A
