at minimum 0.0850 accepted 1  with params [-3.68299958  0.84520071  0.10090025  0.88580013 -3.99999753]
at minimum 0.0204 accepted 1  with params [-5.64814919  1.06039008  0.20366363  1.1        -4.        ]
at minimum 0.0138 accepted 1  with params [-5.17898976  1.16315346  0.01        1.1        -3.85410589]
at minimum 0.0134 accepted 1  with params [-4.90870943  1.26591683  0.10859464  1.1        -3.70821177]
at minimum 0.0145 accepted 1  with params [-4.69179505  1.36868021  0.15347783  1.1        -3.56231766]
at minimum 0.0130 accepted 1  with params [-4.24610585  1.47144358  0.03993647  1.1        -3.41642355]
at minimum 0.0133 accepted 1  with params [-3.9874072   1.57420696  0.02744765  1.03922418 -3.27052943]
at minimum 0.0136 accepted 1  with params [-3.79370593  1.67697034  0.03009657  0.96097324 -3.12463532]
at minimum 0.0138 accepted 1  with params [-3.57376177  1.88328662  0.03248856  0.71340497 -2.97874121]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 21.7032 accepted 0  with params [-3.3585724   1.98605     0.07737174  0.63705977 -2.8328471 ]
at minimum 0.0143 accepted 1  with params [-3.64176936  1.97577366  0.07979136  0.83553462 -2.84743651]
