x,y
-2.000000000000000000e+00,4.262913484126329422e-03
-1.979899497487437099e+00,4.322680644690990448e-03
-1.959798994974874420e+00,4.383670631796121597e-03
-1.939698492462311519e+00,4.445921629667282104e-03
-1.919597989949748840e+00,4.509471822530031204e-03
-1.899497487437185939e+00,4.574360325932502747e-03
-1.879396984924623037e+00,4.640629980713129044e-03
-1.859296482412060358e+00,4.708320833742618561e-03
-1.839195979899497457e+00,4.777478519827127457e-03
-1.819095477386934778e+00,4.848146811127662659e-03
-1.798994974874371877e+00,4.920375067740678787e-03
-1.778894472361808976e+00,4.994210787117481232e-03
-1.758793969849246297e+00,5.069704726338386536e-03
-1.738693467336683396e+00,5.146910436451435089e-03
-1.718592964824120717e+00,5.225881002843379974e-03
-1.698492462311557816e+00,5.306676961481571198e-03
-1.678391959798994915e+00,5.389354191720485687e-03
-1.658291457286432236e+00,5.473975092172622681e-03
-1.638190954773869334e+00,5.560604389756917953e-03
-1.618090452261306655e+00,5.649309605360031128e-03
-1.597989949748743754e+00,5.740159191191196442e-03
-1.577889447236180853e+00,5.833226256072521210e-03
-1.557788944723617952e+00,5.928586237132549286e-03
-1.537688442211055273e+00,6.026318296790122986e-03
-1.517587939698492594e+00,6.126506254076957703e-03
-1.497487437185929693e+00,6.229234859347343445e-03
-1.477386934673366792e+00,6.334594450891017914e-03
-1.457286432160803891e+00,6.442680954933166504e-03
-1.437185929648241212e+00,6.553592160344123840e-03
-1.417085427135678533e+00,6.667430512607097626e-03
-1.396984924623115631e+00,6.784304976463317871e-03
-1.376884422110552730e+00,6.904329173266887665e-03
-1.356783919597989829e+00,7.027623709291219711e-03
-1.336683417085427150e+00,7.154311519116163254e-03
-1.316582914572864471e+00,7.284524850547313690e-03
-1.296482412060301570e+00,7.418402470648288727e-03
-1.276381909547738669e+00,7.556090597063302994e-03
-1.256281407035175768e+00,7.697739638388156891e-03
-1.236180904522613089e+00,7.843511179089546204e-03
-1.216080402010050188e+00,7.993577048182487488e-03
-1.195979899497487509e+00,8.148115128278732300e-03
-1.175879396984924607e+00,8.307317271828651428e-03
-1.155778894472361706e+00,8.471379056572914124e-03
-1.135678391959799027e+00,8.640516549348831177e-03
-1.115577889447236126e+00,8.814951404929161072e-03
-1.095477386934673447e+00,8.994923904538154602e-03
-1.075376884422110546e+00,9.180685505270957947e-03
-1.055276381909547645e+00,9.372500702738761902e-03
-1.035175879396984966e+00,9.570660069584846497e-03
-1.015075376884422065e+00,9.775465354323387146e-03
-9.949748743718593857e-01,9.987240657210350037e-03
-9.748743718592964846e-01,1.020632684230804443e-02
-9.547738693467335835e-01,1.043309830129146576e-02
-9.346733668341709045e-01,1.066794898360967636e-02
-9.145728643216080034e-01,1.091130077838897705e-02
-8.944723618090451023e-01,1.116361096501350403e-02
-8.743718592964824232e-01,1.142536476254463196e-02
-8.542713567839195221e-01,1.169709302484989166e-02
-8.341708542713568431e-01,1.197936199605464935e-02
-8.140703517587939420e-01,1.227278634905815125e-02
-7.939698492462310409e-01,1.257802918553352356e-02
-7.738693467336683618e-01,1.289581507444381714e-02
-7.537688442211054607e-01,1.322692632675170898e-02
