x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,4.012192599475383759e-03
1.300000000000000000e+01,1.137190591543912888e-02
1.400000000000000000e+01,2.151109650731086731e-02
1.500000000000000000e+01,3.394513204693794250e-02
1.600000000000000000e+01,4.826150462031364441e-02
1.700000000000000000e+01,6.411021947860717773e-02
1.800000000000000000e+01,8.119547367095947266e-02
1.900000000000000000e+01,9.926852583885192871e-02
2.000000000000000000e+01,1.181213855743408203e-01
2.100000000000000000e+01,1.375813484191894531e-01
2.200000000000000000e+01,1.575061976909637451e-01
2.300000000000000000e+01,1.777798235416412354e-01
2.400000000000000000e+01,1.983085870742797852e-01
2.500000000000000000e+01,2.190177440643310547e-01
2.600000000000000000e+01,2.398486584424972534e-01
2.700000000000000000e+01,2.607560157775878906e-01
2.800000000000000000e+01,2.817056775093078613e-01
2.900000000000000000e+01,3.026725053787231445e-01
3.000000000000000000e+01,3.236385583877563477e-01
3.100000000000000000e+01,3.445920050144195557e-01
3.200000000000000000e+01,3.655253052711486816e-01
3.300000000000000000e+01,3.864345848560333252e-01
3.400000000000000000e+01,4.073184728622436523e-01
3.500000000000000000e+01,4.281774461269378662e-01
3.600000000000000000e+01,4.490133821964263916e-01
3.700000000000000000e+01,4.698288440704345703e-01
3.800000000000000000e+01,4.906271100044250488e-01
3.900000000000000000e+01,5.114113092422485352e-01
4.000000000000000000e+01,5.321849584579467773e-01
4.100000000000000000e+01,5.529510378837585449e-01
4.200000000000000000e+01,5.737125277519226074e-01
4.300000000000000000e+01,5.944719910621643066e-01
4.400000000000000000e+01,6.152318716049194336e-01
4.500000000000000000e+01,6.359938979148864746e-01
4.600000000000000000e+01,6.567599177360534668e-01
4.700000000000000000e+01,6.775311231613159180e-01
4.800000000000000000e+01,6.983084082603454590e-01
4.900000000000000000e+01,7.190928459167480469e-01
5.000000000000000000e+01,7.398846745491027832e-01
5.100000000000000000e+01,5.582939982414245605e-01
5.200000000000000000e+01,4.685390889644622803e-01
5.300000000000000000e+01,3.932137191295623779e-01
5.400000000000000000e+01,3.299981355667114258e-01
5.500000000000000000e+01,2.769454717636108398e-01
5.600000000000000000e+01,2.324219346046447754e-01
5.700000000000000000e+01,1.950562894344329834e-01
5.800000000000000000e+01,1.636977791786193848e-01
5.900000000000000000e+01,1.373806893825531006e-01
6.000000000000000000e+01,1.152944713830947876e-01
6.100000000000000000e+01,9.675899893045425415e-02
6.200000000000000000e+01,8.120339363813400269e-02
6.300000000000000000e+01,6.814859807491302490e-02
6.400000000000000000e+01,5.719259753823280334e-02
6.500000000000000000e+01,4.799795523285865784e-02
6.600000000000000000e+01,4.028148204088211060e-02
6.700000000000000000e+01,3.380557149648666382e-02
6.800000000000000000e+01,2.837077341973781586e-02
6.900000000000000000e+01,2.380970120429992676e-02
7.000000000000000000e+01,1.998190395534038544e-02
7.100000000000000000e+01,1.676948741078376770e-02
7.200000000000000000e+01,1.407350506633520126e-02
7.300000000000000000e+01,1.181096769869327545e-02
7.400000000000000000e+01,9.912155568599700928e-03
7.500000000000000000e+01,8.318623527884483337e-03
7.600000000000000000e+01,6.981260608881711960e-03
7.700000000000000000e+01,5.858912132680416107e-03
7.800000000000000000e+01,4.916997160762548447e-03
7.900000000000000000e+01,4.126502666622400284e-03
