x,y
-2.000000000000000000e+00,4.918983578681945801e-02
-1.979899497487437099e+00,4.993332177400588989e-02
-1.959798994974874420e+00,5.069217830896377563e-02
-1.939698492462311519e+00,5.146693438291549683e-02
-1.919597989949748840e+00,5.225810408592224121e-02
-1.899497487437185939e+00,5.306625366210937500e-02
-1.879396984924623037e+00,5.389194563031196594e-02
-1.859296482412060358e+00,5.473575741052627563e-02
-1.839195979899497457e+00,5.559831112623214722e-02
-1.819095477386934778e+00,5.648019909858703613e-02
-1.798994974874371877e+00,5.738209933042526245e-02
-1.778894472361808976e+00,5.830467119812965393e-02
-1.758793969849246297e+00,5.924860015511512756e-02
-1.738693467336683396e+00,6.021461263298988342e-02
-1.718592964824120717e+00,6.120345368981361389e-02
-1.698492462311557816e+00,6.221591681241989136e-02
-1.678391959798994915e+00,6.325276196002960205e-02
-1.658291457286432236e+00,6.431487202644348145e-02
-1.638190954773869334e+00,6.540309637784957886e-02
-1.618090452261306655e+00,6.651832163333892822e-02
-1.597989949748743754e+00,6.766150891780853271e-02
-1.577889447236180853e+00,6.883364915847778320e-02
-1.557788944723617952e+00,7.003571838140487671e-02
-1.537688442211055273e+00,7.126879692077636719e-02
-1.517587939698492594e+00,7.253399491310119629e-02
-1.497487437185929693e+00,7.383246719837188721e-02
-1.477386934673366792e+00,7.516537606716156006e-02
-1.457286432160803891e+00,7.653400301933288574e-02
-1.437185929648241212e+00,7.793965935707092285e-02
-1.417085427135678533e+00,7.938365638256072998e-02
-1.396984924623115631e+00,8.086746186017990112e-02
-1.376884422110552730e+00,8.239251375198364258e-02
-1.356783919597989829e+00,8.396037667989730835e-02
-1.336683417085427150e+00,8.557265251874923706e-02
-1.316582914572864471e+00,8.723101019859313965e-02
-1.296482412060301570e+00,8.893723785877227783e-02
-1.276381909547738669e+00,9.069314599037170410e-02
-1.256281407035175768e+00,9.250064194202423096e-02
-1.236180904522613089e+00,9.436172246932983398e-02
-1.216080402010050188e+00,9.627847373485565186e-02
-1.195979899497487509e+00,9.825310111045837402e-02
-1.175879396984924607e+00,1.002878621220588684e-01
-1.155778894472361706e+00,1.023851037025451660e-01
-1.135678391959799027e+00,1.045473217964172363e-01
-1.115577889447236126e+00,1.067771092057228088e-01
-1.095477386934673447e+00,1.090771704912185669e-01
-1.075376884422110546e+00,1.114502772688865662e-01
-1.055276381909547645e+00,1.138993874192237854e-01
-1.035175879396984966e+00,1.164275556802749634e-01
-1.015075376884422065e+00,1.190379634499549866e-01
-9.949748743718593857e-01,1.217338889837265015e-01
-9.748743718592964846e-01,1.245187819004058838e-01
-9.547738693467335835e-01,1.273962110280990601e-01
-9.346733668341709045e-01,1.303698718547821045e-01
-9.145728643216080034e-01,1.334435939788818359e-01
-8.944723618090451023e-01,1.366213262081146240e-01
-8.743718592964824232e-01,1.399071365594863892e-01
-8.542713567839195221e-01,1.433052569627761841e-01
-8.341708542713568431e-01,1.468199789524078369e-01
-8.140703517587939420e-01,1.504557579755783081e-01
-7.939698492462310409e-01,1.542170643806457520e-01
-7.738693467336683618e-01,1.581085026264190674e-01
-7.537688442211054607e-01,1.621346771717071533e-01
-7.336683417085427816e-01,1.663003563880920410e-01
-7.135678391959798805e-01,1.706101000308990479e-01
-6.934673366834169794e-01,1.750686615705490112e-01
-6.733668341708543004e-01,1.796805262565612793e-01
-6.532663316582913993e-01,1.844501793384552002e-01
-6.331658291457287202e-01,1.893818676471710205e-01
-6.130653266331658191e-01,1.944796442985534668e-01
-5.929648241206029180e-01,1.997471898794174194e-01
-5.728643216080402389e-01,2.051878124475479126e-01
-5.527638190954773378e-01,2.108043432235717773e-01
-5.326633165829146588e-01,2.165990024805068970e-01
-5.125628140703517577e-01,2.225733101367950439e-01
-4.924623115577888566e-01,2.287279218435287476e-01
-4.723618090452261775e-01,2.350625991821289062e-01
-4.522613065326632764e-01,2.415759563446044922e-01
-4.321608040201003753e-01,2.482654750347137451e-01
-4.120603015075376963e-01,2.551271617412567139e-01
-3.919597989949747951e-01,2.621556520462036133e-01
-3.718592964824121161e-01,2.693438529968261719e-01
-3.517587939698492150e-01,2.766832113265991211e-01
-3.316582914572863139e-01,2.841632366180419922e-01
-3.115577889447236348e-01,2.917717099189758301e-01
-2.914572864321607337e-01,2.994947433471679688e-01
-2.713567839195980547e-01,3.073167502880096436e-01
-2.512562814070351536e-01,3.152206540107727051e-01
-2.311557788944722525e-01,3.231881260871887207e-01
-2.110552763819095734e-01,3.311998844146728516e-01
-1.909547738693466723e-01,3.392360806465148926e-01
-1.708542713567839932e-01,3.472769260406494141e-01
